Mass/Charge	Intensity
50	0
50.12	0
50.24	0
50.36	0
50.48	0
50.6	0
50.72	0
50.84	0
50.96	0
51.08	0
51.2	0
51.32	0
51.44	0
51.56	0
51.68	0
51.8	0
51.92	0
52.04	0
52.16	0
52.28	0
52.3999999999999	0
52.5199999999999	0
52.6399999999999	0
52.7599999999999	0
52.8799999999999	0
52.9999999999999	0
53.1199999999999	0
53.2399999999999	0
53.3599999999999	0
53.4799999999999	0
53.5999999999999	0
53.7199999999999	0
53.8399999999999	0
53.9599999999999	0
54.0799999999999	0
54.1999999999999	0
54.3199999999999	0
54.4399999999999	0
54.5599999999999	0
54.6799999999999	0
54.7999999999999	0
54.9199999999999	0
55.0399999999999	0
55.1599999999999	0
55.2799999999999	0
55.3999999999999	0
55.5199999999999	0
55.6399999999999	0
55.7599999999999	0
55.8799999999999	0
55.9999999999999	0
56.1199999999999	0
56.2399999999999	0
56.3599999999999	0
56.4799999999999	0
56.5999999999999	0
56.7199999999999	0
56.8399999999999	0
56.9599999999999	0
57.0799999999998	0
57.1999999999998	0
57.3199999999998	0
57.4399999999998	0
57.5599999999998	0
57.6799999999998	0
57.7999999999998	0
57.9199999999998	0
58.0399999999998	0
58.1599999999998	0
58.2799999999998	0
58.3999999999998	0
58.5199999999998	0
58.6399999999998	0
58.7599999999998	0
58.8799999999998	0
58.9999999999998	0
59.16	11904.7618012816
59.28	0
59.4	0
59.52	0
59.64	0
59.76	0
59.88	0
60	0
60.12	0
60.24	0
60.36	0
60.48	0
60.6	0
60.72	0
60.84	0
60.96	0
61.08	0
61.2	0
61.32	0
61.4399999999999	0
61.5599999999999	0
61.6799999999999	0
61.7999999999999	0
61.9199999999999	0
62.0399999999999	0
62.1599999999999	0
62.2799999999999	0
62.3999999999999	0
62.5199999999999	0
62.6399999999999	0
62.7599999999999	0
62.8799999999999	0
62.9999999999999	0
63.1199999999999	0
63.2399999999999	0
63.3599999999999	0
63.4799999999999	0
63.5999999999999	0
63.7199999999999	0
63.8399999999999	0
63.9599999999999	0
64.0799999999999	0
64.1999999999999	0
64.3199999999999	0
64.4399999999999	0
64.5599999999999	0
64.6799999999999	0
64.7999999999999	0
64.9199999999999	0
65.0399999999999	0
65.1599999999999	0
65.2799999999999	0
65.3999999999999	0
65.52	0
65.64	0
65.76	0
65.88	0
66	0
66.12	0
66.24	0
66.36	0
66.48	0
66.6	0
66.72	0
66.84	0
66.96	11904.7618012816
67.08	11904.7618012816
67.2	0
67.32	0
67.44	0
67.56	11904.7618012816
67.68	0
67.8	0
67.92	11904.7618012816
68.04	0
68.16	0
68.28	0
68.4	0
68.52	0
68.64	0
68.76	0
68.88	0
69	0
69.12	0
69.2400000000001	0
69.3600000000001	0
69.4800000000001	0
69.6000000000001	0
